smiles,Li+ observed,Li+ dG_mean [kcal/mol],Li+ dG_std [kcal/mol],Na+ observed,Na+ dG_mean [kcal/mol],Na+ dG_std [kcal/mol],Mg2+ observed,Mg2+ dG_mean [kcal/mol],Mg2+ dG_std [kcal/mol],Al3+ observed,Al3+ dG_mean [kcal/mol],Al3+ dG_std [kcal/mol],K+ observed,K+ dG_mean [kcal/mol],K+ dG_std [kcal/mol],Ca2+ observed,Ca2+ dG_mean [kcal/mol],Ca2+ dG_std [kcal/mol],Mn2+ observed,Mn2+ dG_mean [kcal/mol],Mn2+ dG_std [kcal/mol],Fe3+ observed,Fe3+ dG_mean [kcal/mol],Fe3+ dG_std [kcal/mol],Co2+ observed,Co2+ dG_mean [kcal/mol],Co2+ dG_std [kcal/mol],Ni2+ observed,Ni2+ dG_mean [kcal/mol],Ni2+ dG_std [kcal/mol],Cu2+ observed,Cu2+ dG_mean [kcal/mol],Cu2+ dG_std [kcal/mol],Zn2+ observed,Zn2+ dG_mean [kcal/mol],Zn2+ dG_std [kcal/mol],Rb+ observed,Rb+ dG_mean [kcal/mol],Rb+ dG_std [kcal/mol],Sr2+ observed,Sr2+ dG_mean [kcal/mol],Sr2+ dG_std [kcal/mol],Cs+ observed,Cs+ dG_mean [kcal/mol],Cs+ dG_std [kcal/mol],La3+ observed,La3+ dG_mean [kcal/mol],La3+ dG_std [kcal/mol],Pr3+ observed,Pr3+ dG_mean [kcal/mol],Pr3+ dG_std [kcal/mol],Nd3+ observed,Nd3+ dG_mean [kcal/mol],Nd3+ dG_std [kcal/mol],Sm3+ observed,Sm3+ dG_mean [kcal/mol],Sm3+ dG_std [kcal/mol],Gd3+ observed,Gd3+ dG_mean [kcal/mol],Gd3+ dG_std [kcal/mol],Tb3+ observed,Tb3+ dG_mean [kcal/mol],Tb3+ dG_std [kcal/mol],Dy3+ observed,Dy3+ dG_mean [kcal/mol],Dy3+ dG_std [kcal/mol],Er3+ observed,Er3+ dG_mean [kcal/mol],Er3+ dG_std [kcal/mol]
NS(=O)(=O)O,False,0.5027953386306763,0.2282168405285003,False,0.7082276940345764,0.3496533056560616,False,0.06940396875143051,0.1705535330929449,False,-0.4602818489074707,0.1975800852393646,False,0.5222035050392151,0.3221995266449673,False,-0.013626323081552982,0.2593427828500507,False,-0.01903580129146576,0.1856650564444887,False,-0.5716459155082703,0.252882889892177,False,-0.056345947086811066,0.1215738069158855,False,-0.253459632396698,0.1743986023098311,False,-0.34628430008888245,0.1859552388773316,True,-0.00391051755448113,0.24062412387036475,False,0.4525044858455658,0.3867352593186444,False,-0.03034052439033985,0.1731710905123087,False,0.3323960602283478,0.2260110057989192,False,-0.37292203307151794,0.1175286052793638,False,-0.4432068467140198,0.0867758470077774,False,-0.42613568902015686,0.079207931625476,False,-0.44508764147758484,0.1242340543788246,False,-0.42487668991088867,0.1046590080445719,False,-0.47025546431541443,0.0652229033910062,False,-0.45666778087615967,0.0668431562032363,False,-0.4652746915817261,0.0938208838269708
COc1ccncc1,False,0.8929666876792908,0.2282168405285003,False,1.2023874521255493,0.3496533056560616,False,0.20003752410411835,0.1705535330929449,False,-0.6471561789512634,0.1975800852393646,False,1.2601104974746704,0.3221995266449673,False,0.2528863549232483,0.2593427828500507,False,-0.14099949598312378,0.1856650564444887,False,-0.9218590259552002,0.252882889892177,False,-0.23647654056549072,0.1215738069158855,False,-0.34508466720581055,0.1743986023098311,False,-0.6516939997673035,0.1859552388773316,True,-0.256163869093812,0.0773,False,1.1156553030014038,0.3867352593186444,False,0.24164937436580658,0.1731710905123087,False,0.8492925763130188,0.2260110057989192,False,-0.4310028851032257,0.1175286052793638,False,-0.4781385064125061,0.0867758470077774,False,-0.4883885979652405,0.079207931625476,False,-0.5113233327865601,0.1242340543788246,False,-0.5309178233146667,0.1046590080445719,False,-0.5262798070907593,0.0652229033910062,False,-0.5333091616630554,0.0668431562032363,False,-0.5293622612953186,0.0938208838269708
O=C(O)[C@@H](O)[C@@H](O)C(=O)O,False,0.1767323762178421,0.2282168405285003,False,0.31453293561935425,0.3496533056560616,False,-0.36718055605888367,0.1705535330929449,True,-1.0227203959741942,0.0773,False,0.5326570868492126,0.3221995266449673,False,-0.43508315086364746,0.2593427828500507,False,-0.5284464955329895,0.1856650564444887,True,-1.1233067843223845,0.0773,False,-0.6012123227119446,0.1215738069158855,False,-0.6335516571998596,0.1743986023098311,True,-0.7126456821608589,0.04652320547075864,False,-0.6268508434295654,0.1603647614277846,False,0.6915153861045837,0.3867352593186444,False,-0.3925989270210266,0.1731710905123087,False,0.6602075099945068,0.2260110057989192,True,-0.8763902119942976,0.0773,False,-0.7984313368797302,0.0867758470077774,True,-0.9628734801019886,0.0773,False,-0.8252336978912354,0.1242340543788246,False,-0.8205958008766174,0.1046590080445719,False,-0.8236696720123291,0.0652229033910062,False,-0.823592483997345,0.0668431562032363,False,-0.822697103023529,0.0938208838269708
O=C(O)C(=O)C(=O)O,False,0.032829731702804565,0.2282168405285003,False,0.23257683217525482,0.3496533056560616,False,-0.4336612820625305,0.1705535330929449,False,-0.9225309491157532,0.1975800852393646,False,0.3127615749835968,0.3221995266449673,False,-0.4712819755077362,0.2593427828500507,False,-0.5046648979187012,0.1856650564444887,False,-1.1027493476867676,0.252882889892177,True,-0.5235651454052167,0.0773,False,-0.6517331004142761,0.1743986023098311,False,-0.8396251201629639,0.1859552388773316,False,-0.6041479706764221,0.1603647614277846,False,0.36954009532928467,0.3867352593186444,False,-0.3969208300113678,0.1731710905123087,False,0.3254460096359253,0.2260110057989192,False,-0.8064737319946289,0.1175286052793638,False,-0.8226949572563171,0.0867758470077774,False,-0.8296380043029785,0.079207931625476,False,-0.855485200881958,0.1242340543788246,False,-0.8361546397209167,0.1046590080445719,False,-0.846683919429779,0.0652229033910062,False,-0.851008415222168,0.0668431562032363,False,-0.8450236320495605,0.0938208838269708
O=C(O)CCC(=O)C(=O)O,False,0.2057572901248932,0.2282168405285003,False,0.4341200888156891,0.3496533056560616,False,-0.13506577908992767,0.1705535330929449,False,-0.7258305549621582,0.1975800852393646,False,0.43736281991004944,0.3221995266449673,True,-0.1508561743098611,0.0773,False,-0.21914644539356232,0.1856650564444887,False,-0.9753060936927795,0.252882889892177,False,-0.3153008818626404,0.1215738069158855,False,-0.42587003111839294,0.1743986023098311,False,-0.670295000076294,0.1859552388773316,True,-0.0724046649599121,0.0773,False,0.5460755825042725,0.3867352593186444,True,-0.0776242938792646,0.0773,False,0.4916636645793915,0.2260110057989192,False,-0.6708310842514038,0.1175286052793638,False,-0.6746178269386292,0.0867758470077774,False,-0.6776321530342102,0.079207931625476,False,-0.7009057402610779,0.1242340543788246,False,-0.67476487159729,0.1046590080445719,False,-0.6910632848739624,0.0652229033910062,False,-0.6869764924049377,0.0668431562032363,False,-0.6826000213623047,0.0938208838269708
CC(=O)N[C@@H](CC(=O)O)C(=O)O,False,0.0009250763687305152,0.2282168405285003,False,0.22295232117176056,0.3496533056560616,False,-0.4165574908256531,0.1705535330929449,True,-0.4777756986841543,0.0773,False,0.3422931432723999,0.3221995266449673,False,-0.4005425274372101,0.2593427828500507,False,-0.49568766355514526,0.1856650564444887,False,-0.9618625044822693,0.252882889892177,False,-0.6377960443496704,0.1215738069158855,False,-0.6579448580741882,0.1743986023098311,False,-0.84133380651474,0.1859552388773316,False,-0.6700554490089417,0.1603647614277846,False,0.5200284123420715,0.3867352593186444,False,-0.3511211574077606,0.1731710905123087,False,0.5277822017669678,0.2260110057989192,False,-0.6862062811851501,0.1175286052793638,False,-0.7003094553947449,0.0867758470077774,False,-0.6993082165718079,0.079207931625476,False,-0.7124837636947632,0.1242340543788246,False,-0.6570450663566589,0.1046590080445719,False,-0.7064560651779175,0.0652229033910062,False,-0.6911154985427856,0.0668431562032363,False,-0.6968936324119568,0.0938208838269708
CC(=O)N[C@@H](CCC(=O)O)C(=O)O,False,-0.11146318912506104,0.2282168405285003,False,0.16260166466236115,0.3496533056560616,False,-0.41616928577423096,0.1705535330929449,False,-0.7418802976608276,0.1975800852393646,False,0.269906610250473,0.3221995266449673,False,-0.40869462490081787,0.2593427828500507,False,-0.48315972089767456,0.1856650564444887,False,-0.9594480991363525,0.252882889892177,False,-0.6050342321395874,0.1215738069158855,False,-0.6466238498687744,0.1743986023098311,True,-0.4671011026793104,0.0773,False,-0.6325037479400635,0.1603647614277846,False,0.3904886543750763,0.3867352593186444,False,-0.34946712851524353,0.1731710905123087,False,0.3957110345363617,0.2260110057989192,False,-0.6825820207595825,0.1175286052793638,False,-0.6921388506889343,0.0867758470077774,False,-0.6940305233001709,0.079207931625476,False,-0.7144215106964111,0.1242340543788246,False,-0.6609554886817932,0.1046590080445719,False,-0.7094050645828247,0.0652229033910062,False,-0.6918572783470154,0.0668431562032363,False,-0.6974023580551147,0.0938208838269708
CC(OC(C)C(=O)O)C(=O)O,False,0.178410604596138,0.2282168405285003,False,0.3284528851509094,0.3496533056560616,False,-0.3675856590270996,0.1705535330929449,False,-0.9627909660339355,0.1975800852393646,False,0.4222479462623596,0.3221995266449673,False,-0.368380606174469,0.2593427828500507,False,-0.4970332086086273,0.1856650564444887,False,-1.1290150880813599,0.252882889892177,False,-0.6699013113975525,0.1215738069158855,False,-0.7059049010276794,0.1743986023098311,False,-0.8978427052497864,0.1859552388773316,False,-0.6956425309181213,0.1603647614277846,False,0.503828227519989,0.3867352593186444,False,-0.3118935823440552,0.1731710905123087,False,0.4451156556606293,0.2260110057989192,True,-0.9342022053586208,0.0773,True,-0.9823741929651748,0.0773,True,-0.9935523368541388,0.0773,True,-1.008855653995446,0.0773,True,-0.9968650615158946,0.0773,True,-1.0066935200261615,0.0773,True,-1.0174261333046248,0.0773,True,-1.0195495192695918,0.0773
O=C(O)c1ccc(C(=O)O)o1,False,0.10818535834550858,0.2282168405285003,False,0.2533195912837982,0.3496533056560616,False,-0.34268447756767273,0.1705535330929449,False,-0.7998798489570618,0.1975800852393646,False,0.29352712631225586,0.3221995266449673,True,-0.1733845180157903,0.0773,False,-0.41225123405456543,0.1856650564444887,False,-1.0044989585876465,0.252882889892177,False,-0.4704425036907196,0.1215738069158855,False,-0.5034497380256653,0.1743986023098311,False,-0.6813274621963501,0.1859552388773316,False,-0.49126136302948,0.1603647614277846,False,0.29639825224876404,0.3867352593186444,False,-0.2936380207538605,0.1731710905123087,False,0.24558112025260925,0.2260110057989192,False,-0.7063779830932617,0.1175286052793638,False,-0.7311551570892334,0.0867758470077774,False,-0.7396268248558044,0.079207931625476,False,-0.7615261077880859,0.1242340543788246,False,-0.7527343034744263,0.1046590080445719,False,-0.7548620104789734,0.0652229033910062,False,-0.7598615884780884,0.0668431562032363,False,-0.7551159858703613,0.0938208838269708
N#C[S-],False,0.7608962655067444,0.2282168405285003,False,0.9785070419311523,0.3496533056560616,False,0.2657335102558136,0.1705535330929449,True,0.5087570288128433,0.0773,False,0.9927515387535095,0.3221995266449673,False,0.2701738774776459,0.2593427828500507,True,0.1185935454323551,0.16678708209585374,True,-0.48160013972347243,0.07048730950595163,True,-0.12192161802360124,0.12337332028990838,True,-0.17223775500078262,0.09786983225642541,True,-0.3979854559059249,0.06300600532176577,True,0.023483426358906684,0.1444421561998339,False,0.850576639175415,0.3867352593186444,False,0.2052762359380722,0.1731710905123087,False,0.806789219379425,0.2260110057989192,True,1.0253625689841528,0.22465098158766916,True,1.307642743535253,0.0773,False,1.0031847953796387,0.079207931625476,True,1.4145634198462789,0.016916072832601756,False,0.6828483939170837,0.1046590080445719,True,0.9505802254181928,0.09235889970687589,True,1.0281522064288198,0.2925697957172235,True,0.8903605403474955,0.2504545285532275
F,True,1.2230404957264314,0.49832516775634356,False,1.3958505392074585,0.3496533056560616,True,-0.2543752644430497,0.14806235469726178,True,-1.0997124835182839,0.03803078917931617,False,1.4343079328536987,0.3221995266449673,True,0.2737209182178046,0.0773,True,-0.021570219239582345,0.1494471387990974,True,-1.0032253839020577,0.05387243756992699,True,0.09345921611909201,0.20338905415814254,True,0.09649752789452132,0.17609421556063812,True,-0.09885779556184753,0.15356818818541462,True,0.12740230403076344,0.16063764374441808,False,1.3785697221755981,0.3867352593186444,True,1.1647725411294618,0.0773,False,1.18389892578125,0.2260110057989192,True,-0.6427727969684128,0.08416281290238037,True,-0.7153060124161841,0.08267469794513885,True,-0.6702667387209067,0.0027026355879155957,True,-0.7379890081030452,0.08029147474276663,True,-0.7690315366228555,0.07089531079279456,True,-0.7843169101491244,0.07292298333357047,True,-0.7894818538187939,0.07193046891489133,True,-0.7999579441719096,0.07109375006239814
O=C(O)CCSSCCC(=O)O,False,0.0983666256070137,0.2282168405285003,False,0.3618397116661072,0.3496533056560616,False,-0.21700671315193176,0.1705535330929449,False,-0.6388949155807495,0.1975800852393646,False,0.3112908601760864,0.3221995266449673,False,-0.2051357924938202,0.2593427828500507,False,-0.18971100449562073,0.1856650564444887,False,-0.8853661417961121,0.252882889892177,False,-0.3759744465351105,0.1215738069158855,False,-0.4807324707508087,0.1743986023098311,True,-0.6438000017204947,0.0773,False,-0.39772456884384155,0.1603647614277846,False,0.26473551988601685,0.3867352593186444,False,-0.19695012271404266,0.1731710905123087,False,0.2151065170764923,0.2260110057989192,False,-0.5864936709403992,0.1175286052793638,False,-0.596824049949646,0.0867758470077774,False,-0.6027842164039612,0.079207931625476,False,-0.6033092737197876,0.1242340543788246,False,-0.594232976436615,0.1046590080445719,False,-0.5932825803756714,0.0652229033910062,False,-0.5849555134773254,0.0668431562032363,False,-0.5891952514648438,0.0938208838269708
O=C(O)CCC(CCC(=O)O)C(=O)O,False,-0.08054975420236588,0.2282168405285003,False,0.18949727714061737,0.3496533056560616,False,-0.38019034266471863,0.1705535330929449,False,-0.8430959582328796,0.1975800852393646,False,0.24636009335517883,0.3221995266449673,True,-0.3002509366064078,0.0773,True,-0.4046829992832125,0.0773,False,-1.0318154096603394,0.252882889892177,False,-0.6057785749435425,0.1215738069158855,False,-0.6740659475326538,0.1743986023098311,False,-0.8231993913650513,0.1859552388773316,False,-0.6270063519477844,0.1603647614277846,False,0.3183010220527649,0.3867352593186444,True,-0.2821325810694554,0.0773,False,0.29663780331611633,0.2260110057989192,False,-0.7688899636268616,0.1175286052793638,False,-0.7918590903282166,0.0867758470077774,False,-0.7994142174720764,0.079207931625476,False,-0.8166160583496094,0.1242340543788246,False,-0.8129063248634338,0.1046590080445719,False,-0.8110632300376892,0.0652229033910062,False,-0.8110358119010925,0.0668431562032363,False,-0.8123570680618286,0.0938208838269708
O=C(O)/C=C(/CC(=O)O)C(=O)O,False,-0.05717669054865837,0.2282168405285003,False,0.1170167624950409,0.3496533056560616,False,-0.4542046785354614,0.1705535330929449,False,-0.9146345853805542,0.1975800852393646,False,0.19365842640399933,0.3221995266449673,False,-0.4277374744415283,0.2593427828500507,True,-0.5522364201485845,0.0773,False,-1.1177501678466797,0.252882889892177,False,-0.6823135614395142,0.1215738069158855,False,-0.7445937395095825,0.1743986023098311,False,-0.9024848341941833,0.1859552388773316,False,-0.6999769806861877,0.1603647614277846,False,0.3639932870864868,0.3867352593186444,False,-0.34228649735450745,0.1731710905123087,False,0.3834061026573181,0.2260110057989192,False,-0.8666712045669556,0.1175286052793638,False,-0.888552188873291,0.0867758470077774,False,-0.8968291878700256,0.079207931625476,False,-0.9034850597381592,0.1242340543788246,False,-0.9104306101799011,0.1046590080445719,False,-0.9092775583267212,0.0652229033910062,False,-0.9123653769493103,0.0668431562032363,False,-0.9114893078804016,0.0938208838269708
